date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:16	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:38%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2017/11/Global-Nexus-Logo-1.png	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2017/11/Global-Nexus-Logo-1.png	(from https://www.globalnexus.biz/)
20:47:16	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:38%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2018/04/1.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2018/04/1.jpg	(from https://www.globalnexus.biz/)
20:47:18	44956/44956	---MCZ	200	added ('OK')	text/html	etag:%22dc557a830dcf23d91f7c39f2bde5abe7%22	https://www.globalnexus.biz/core-team/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/core-team/index.html	(from https://www.globalnexus.biz/)
20:47:19	30891/30891	---M-Z	200	added ('OK')	text/html	etag:%222332-5ac3609e6eefc%22	https://www.globalnexus.biz/services/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/services/index.html	(from https://www.globalnexus.biz/)
20:47:19	39433/39433	---MCZ	200	added ('OK')	text/html	etag:%22f5a748fa33879512e82d413806e0d984%22	https://www.globalnexus.biz/clients/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/clients/index.html	(from https://www.globalnexus.biz/)
20:47:19	37743/37743	---MCZ	200	added ('OK')	text/html	etag:%226b7fb53cf4ac2f27b6587eb6c8c37166%22	https://www.globalnexus.biz/blog/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/blog/index.html	(from https://www.globalnexus.biz/)
20:47:21	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:42%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2018/04/1.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2018/04/1.11.delayed	(from https://www.globalnexus.biz/)
20:47:22	57325/57325	---MCZ	200	added ('OK')	text/html	etag:%220e8b549e109e9fef5d34bada6eabe68a%22	https://www.globalnexus.biz/our-events/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/our-events/index.html	(from https://www.globalnexus.biz/)
20:47:22	30613/30613	---MCZ	200	added ('OK')	text/html	etag:%22c860b82dc1cf7a5347c73b9a09fffe31%22	https://www.globalnexus.biz/our-event-videos/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/our-event-videos/index.html	(from https://www.globalnexus.biz/)
20:47:22	374466/374466	---M--	200	added ('OK')	image/jpeg	etag:%225b6c2-56b43036cdc00%22	https://www.globalnexus.biz/wp-content/uploads/2018/04/1.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/wp-content/uploads/2018/04/1.jpg	(from https://www.globalnexus.biz/)
20:47:22	34184/34184	---MCZ	200	added ('OK')	text/html	etag:%22bd1133f82ca69fc7ef0899ae8a0d8871%22	https://www.globalnexus.biz/contact/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/contact/index.html	(from https://www.globalnexus.biz/)
20:47:23	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:45%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2018/04/5.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2018/04/5.12.delayed	(from https://www.globalnexus.biz/)
20:47:24	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:46%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2018/04/5.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2018/04/5.jpg	(from https://www.globalnexus.biz/)
20:47:24	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:46%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2019/07/Rezied-image.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2019/07/Rezied-image.jpg	(from https://www.globalnexus.biz/)
20:47:25	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:47%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2019/07/Rezied-image.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2019/07/Rezied-image.jpg	(from https://www.globalnexus.biz/)
20:47:25	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:47%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2018/04/6.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2018/04/6.jpg	(from https://www.globalnexus.biz/)
20:47:26	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:48%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2018/04/6.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2018/04/6.jpg	(from https://www.globalnexus.biz/)
20:47:26	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:48%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2019/07/DSC_5987.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2019/07/DSC_5987.jpg	(from https://www.globalnexus.biz/)
20:47:27	166329/166329	---M--	200	added ('OK')	image/jpeg	etag:%22289b9-5a5af20bbd41f%22	https://www.globalnexus.biz/wp-content/uploads/2018/04/5.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/wp-content/uploads/2018/04/5.jpg	(from https://www.globalnexus.biz/)
